text,label
['PRODUCT DEVELOPMENT AND CO-BRANDING AGREEMENT'],Volume Restriction
['PRODUCT DEVELOPMENT AND CO-BRANDING AGREEMENT'],Joint Ip Ownership
['PRODUCT DEVELOPMENT AND CO-BRANDING AGREEMENT'],License Grant
['PRODUCT DEVELOPMENT AND CO-BRANDING AGREEMENT'],Audit Rights
['PRODUCT DEVELOPMENT AND CO-BRANDING AGREEMENT'],Covenant Not To Sue
['ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT'],Competitive Restriction Exception
['ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT'],Non-Compete
['ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT'],Exclusivity
['ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT'],Rofr/Rofo/Rofn
['ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT'],Change Of Control
['ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT'],Anti-Assignment
['ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT'],Revenue/Profit Sharing
['ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT'],Minimum Commitment
['ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT'],Volume Restriction
['ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT'],Ip Ownership Assignment
['ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT'],License Grant
['ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT'],Post-Termination Services
['ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT'],Audit Rights
['ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT'],Cap On Liability
['ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT'],Insurance
['ENDORSEMENT LICENSING AND CO-BRANDING AGREEMENT'],Covenant Not To Sue
['CO-BRANDING AGREEMENT'],Most Favored Nation
['CO-BRANDING AGREEMENT'],Competitive Restriction Exception
['CO-BRANDING AGREEMENT'],Non-Compete
['CO-BRANDING AGREEMENT'],Change Of Control
['CO-BRANDING AGREEMENT'],Anti-Assignment
['CO-BRANDING AGREEMENT'],Revenue/Profit Sharing
['CO-BRANDING AGREEMENT'],Ip Ownership Assignment
['CO-BRANDING AGREEMENT'],Joint Ip Ownership
['CO-BRANDING AGREEMENT'],License Grant
['CO-BRANDING AGREEMENT'],Non-Transferable License
['CO-BRANDING AGREEMENT'],Affiliate License-Licensor
['CO-BRANDING AGREEMENT'],Affiliate License-Licensee
['CO-BRANDING AGREEMENT'],Post-Termination Services
['CO-BRANDING AGREEMENT'],Audit Rights
['CO-BRANDING AGREEMENT'],Uncapped Liability
['CO-BRANDING AGREEMENT'],Cap On Liability
['DEVELOPMENT AGREEMENT'],Competitive Restriction Exception
['DEVELOPMENT AGREEMENT'],Exclusivity
['DEVELOPMENT AGREEMENT'],Rofr/Rofo/Rofn
['DEVELOPMENT AGREEMENT'],Change Of Control
['DEVELOPMENT AGREEMENT'],Anti-Assignment
['DEVELOPMENT AGREEMENT'],Ip Ownership Assignment
['DEVELOPMENT AGREEMENT'],Joint Ip Ownership
['DEVELOPMENT AGREEMENT'],License Grant
['DEVELOPMENT AGREEMENT'],Affiliate License-Licensee
['DEVELOPMENT AGREEMENT'],Uncapped Liability
['DEVELOPMENT AGREEMENT'],Cap On Liability
['EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT'],Non-Compete
['EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT'],Exclusivity
['EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT'],Termination For Convenience
['EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT'],Change Of Control
['EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT'],Anti-Assignment
['EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT'],Revenue/Profit Sharing
['EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT'],Minimum Commitment
['EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT'],Volume Restriction
['EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT'],License Grant
['EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT'],Post-Termination Services
['EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT'],Audit Rights
['EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT'],Cap On Liability
['EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT'],Insurance
['JOINT DEVELOPMENT AGREEMENT'],Competitive Restriction Exception
['JOINT DEVELOPMENT AGREEMENT'],Non-Compete
['JOINT DEVELOPMENT AGREEMENT'],Termination For Convenience
['JOINT DEVELOPMENT AGREEMENT'],Rofr/Rofo/Rofn
['JOINT DEVELOPMENT AGREEMENT'],Change Of Control
['JOINT DEVELOPMENT AGREEMENT'],Anti-Assignment
['JOINT DEVELOPMENT AGREEMENT'],Ip Ownership Assignment
['JOINT DEVELOPMENT AGREEMENT'],License Grant
['JOINT DEVELOPMENT AGREEMENT'],Non-Transferable License
['JOINT DEVELOPMENT AGREEMENT'],Affiliate License-Licensee
['JOINT DEVELOPMENT AGREEMENT'],Irrevocable Or Perpetual License
['JOINT DEVELOPMENT AGREEMENT'],Post-Termination Services
['JOINT DEVELOPMENT AGREEMENT'],Audit Rights
['JOINT DEVELOPMENT AGREEMENT'],Uncapped Liability
['JOINT DEVELOPMENT AGREEMENT'],Cap On Liability
['RECIPE DEVELOPMENT AGREEMENT'],Exclusivity
['RECIPE DEVELOPMENT AGREEMENT'],Anti-Assignment
['RECIPE DEVELOPMENT AGREEMENT'],Ip Ownership Assignment
['RECIPE DEVELOPMENT AGREEMENT'],Uncapped Liability
['RECIPE DEVELOPMENT AGREEMENT'],Cap On Liability
['RECIPE DEVELOPMENT AGREEMENT'],Covenant Not To Sue
['Distributorship agreement'],Non-Compete
['Distributorship agreement'],Anti-Assignment
['Distributorship agreement'],License Grant
['Distributorship agreement'],Post-Termination Services
['Distributorship agreement'],Audit Rights
['Distributorship agreement'],Insurance
['Distributorship agreement'],Covenant Not To Sue
['DISTRIBUTOR AGREEMENT'],Most Favored Nation
['DISTRIBUTOR AGREEMENT'],Exclusivity
['DISTRIBUTOR AGREEMENT'],No-Solicit Of Customers
['DISTRIBUTOR AGREEMENT'],Anti-Assignment
['DISTRIBUTOR AGREEMENT'],Price Restrictions
['DISTRIBUTOR AGREEMENT'],Volume Restriction
['DISTRIBUTOR AGREEMENT'],Ip Ownership Assignment
['DISTRIBUTOR AGREEMENT'],Post-Termination Services
['DISTRIBUTOR AGREEMENT'],Cap On Liability
['DISTRIBUTOR AGREEMENT'],Warranty Duration
['DISTRIBUTOR AGREEMENT'],Covenant Not To Sue
['NON-EXCLUSIVE DISTRIBUTOR AGREEMENT'],Non-Compete
['NON-EXCLUSIVE DISTRIBUTOR AGREEMENT'],Termination For Convenience
['NON-EXCLUSIVE DISTRIBUTOR AGREEMENT'],Anti-Assignment
['NON-EXCLUSIVE DISTRIBUTOR AGREEMENT'],Minimum Commitment
['NON-EXCLUSIVE DISTRIBUTOR AGREEMENT'],License Grant
['NON-EXCLUSIVE DISTRIBUTOR AGREEMENT'],Audit Rights
['NON-EXCLUSIVE DISTRIBUTOR AGREEMENT'],Cap On Liability
['NON-EXCLUSIVE DISTRIBUTOR AGREEMENT'],Warranty Duration
['NON-EXCLUSIVE DISTRIBUTOR AGREEMENT'],Covenant Not To Sue
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],Non-Compete
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],Exclusivity
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],Non-Disparagement
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],Anti-Assignment
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],Minimum Commitment
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],Ip Ownership Assignment
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],License Grant
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],Non-Transferable License
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],Audit Rights
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],Cap On Liability
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],Competitive Restriction Exception
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],Exclusivity
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],Rofr/Rofo/Rofn
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],Change Of Control
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],Anti-Assignment
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],Revenue/Profit Sharing
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],Minimum Commitment
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],License Grant
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],Non-Transferable License
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],Audit Rights
['EXCLUSIVE DISTRIBUTOR AGREEMENT'],Cap On Liability
['ENDORSEMENT AGREEMENT ADDENDUM I'],Revenue/Profit Sharing
['ENDORSEMENT AGREEMENT'],Non-Compete
['ENDORSEMENT AGREEMENT'],Anti-Assignment
['ENDORSEMENT AGREEMENT'],Revenue/Profit Sharing
['ENDORSEMENT AGREEMENT'],Volume Restriction
['ENDORSEMENT AGREEMENT'],License Grant
['ENDORSEMENT AGREEMENT'],Non-Transferable License
['COLLABORATION & ENDORSEMENT AGREEMENT'],Non-Compete
['COLLABORATION & ENDORSEMENT AGREEMENT'],Exclusivity
['COLLABORATION & ENDORSEMENT AGREEMENT'],Rofr/Rofo/Rofn
['COLLABORATION & ENDORSEMENT AGREEMENT'],Anti-Assignment
['COLLABORATION & ENDORSEMENT AGREEMENT'],Revenue/Profit Sharing
['COLLABORATION & ENDORSEMENT AGREEMENT'],Volume Restriction
['COLLABORATION & ENDORSEMENT AGREEMENT'],Joint Ip Ownership
['COLLABORATION & ENDORSEMENT AGREEMENT'],License Grant
['COLLABORATION & ENDORSEMENT AGREEMENT'],Non-Transferable License
['COLLABORATION & ENDORSEMENT AGREEMENT'],Unlimited/All-You-Can-Eat-License
['COLLABORATION & ENDORSEMENT AGREEMENT'],Post-Termination Services
['GAS FRANCHISE AGREEMENT'],Revenue/Profit Sharing
['MASTER FRANCHISE AGREEMENT'],Competitive Restriction Exception
['MASTER FRANCHISE AGREEMENT'],Exclusivity
['MASTER FRANCHISE AGREEMENT'],Non-Disparagement
['MASTER FRANCHISE AGREEMENT'],Anti-Assignment
['MASTER FRANCHISE AGREEMENT'],Revenue/Profit Sharing
['MASTER FRANCHISE AGREEMENT'],Minimum Commitment
['MASTER FRANCHISE AGREEMENT'],Ip Ownership Assignment
['MASTER FRANCHISE AGREEMENT'],License Grant
['MASTER FRANCHISE AGREEMENT'],Audit Rights
['MASTER FRANCHISE AGREEMENT'],Insurance
['MASTER FRANCHISE AGREEMENT'],Covenant Not To Sue
"['Website Design, Development and Hosting Agreement']",Termination For Convenience
"['Website Design, Development and Hosting Agreement']",License Grant
['MOBILE VIRTUALNETWORK ENABLER HOSTING AGREEMENT'],No-Solicit Of Employees
['MOBILE VIRTUALNETWORK ENABLER HOSTING AGREEMENT'],Termination For Convenience
['MOBILE VIRTUALNETWORK ENABLER HOSTING AGREEMENT'],Anti-Assignment
['MOBILE VIRTUALNETWORK ENABLER HOSTING AGREEMENT'],License Grant
['MOBILE VIRTUALNETWORK ENABLER HOSTING AGREEMENT'],Uncapped Liability
['MOBILE VIRTUALNETWORK ENABLER HOSTING AGREEMENT'],Cap On Liability
['MOBILE VIRTUALNETWORK ENABLER HOSTING AGREEMENT'],Liquidated Damages
['SERVICES AND HOSTING AGREEMENT'],No-Solicit Of Employees
['SERVICES AND HOSTING AGREEMENT'],Termination For Convenience
['SERVICES AND HOSTING AGREEMENT'],Anti-Assignment
['SERVICES AND HOSTING AGREEMENT'],Price Restrictions
['SERVICES AND HOSTING AGREEMENT'],Ip Ownership Assignment
['SERVICES AND HOSTING AGREEMENT'],License Grant
['SERVICES AND HOSTING AGREEMENT'],Non-Transferable License
['SERVICES AND HOSTING AGREEMENT'],Cap On Liability
['SERVICES AND HOSTING AGREEMENT'],Liquidated Damages
['e-business Hosting Agreement'],Termination For Convenience
['e-business Hosting Agreement'],Anti-Assignment
['e-business Hosting Agreement'],Volume Restriction
['e-business Hosting Agreement'],License Grant
['e-business Hosting Agreement'],Non-Transferable License
['e-business Hosting Agreement'],Affiliate License-Licensee
['e-business Hosting Agreement'],Irrevocable Or Perpetual License
['e-business Hosting Agreement'],Uncapped Liability
['e-business Hosting Agreement'],Cap On Liability
['e-business Hosting Agreement'],Insurance
"['INTELLECTUAL PROPERTY AGREEMENT, d']",Termination For Convenience
"['INTELLECTUAL PROPERTY AGREEMENT, d']",Change Of Control
"['INTELLECTUAL PROPERTY AGREEMENT, d']",Anti-Assignment
"['INTELLECTUAL PROPERTY AGREEMENT, d']",Ip Ownership Assignment
"['INTELLECTUAL PROPERTY AGREEMENT, d']",License Grant
"['INTELLECTUAL PROPERTY AGREEMENT, d']",Non-Transferable License
"['INTELLECTUAL PROPERTY AGREEMENT, d']",Affiliate License-Licensee
"['INTELLECTUAL PROPERTY AGREEMENT, d']",Irrevocable Or Perpetual License
"['INTELLECTUAL PROPERTY AGREEMENT, d']",Cap On Liability
"['INTELLECTUAL PROPERTY AGREEMENT, d']",Covenant Not To Sue
"['INTELLECTUAL PROPERTY AGREEMENT, d']",Termination For Convenience
"['INTELLECTUAL PROPERTY AGREEMENT, d']",Change Of Control
"['INTELLECTUAL PROPERTY AGREEMENT, d']",Anti-Assignment
"['INTELLECTUAL PROPERTY AGREEMENT, d']",Ip Ownership Assignment
"['INTELLECTUAL PROPERTY AGREEMENT, d']",License Grant
"['INTELLECTUAL PROPERTY AGREEMENT, d']",Non-Transferable License
"['INTELLECTUAL PROPERTY AGREEMENT, d']",Affiliate License-Licensor
"['INTELLECTUAL PROPERTY AGREEMENT, d']",Affiliate License-Licensee
"['INTELLECTUAL PROPERTY AGREEMENT, d']",Irrevocable Or Perpetual License
"['INTELLECTUAL PROPERTY AGREEMENT, d']",Cap On Liability
"['INTELLECTUAL PROPERTY AGREEMENT, d']",Insurance
"['INTELLECTUAL PROPERTY AGREEMENT, d']",Covenant Not To Sue
['INTELLECTUAL PROPERTY RIGHTS AGREEMENT'],Exclusivity
['INTELLECTUAL PROPERTY RIGHTS AGREEMENT'],Rofr/Rofo/Rofn
['INTELLECTUAL PROPERTY RIGHTS AGREEMENT'],Anti-Assignment
['INTELLECTUAL PROPERTY RIGHTS AGREEMENT'],Ip Ownership Assignment
['INTELLECTUAL PROPERTY RIGHTS AGREEMENT'],License Grant
['INTELLECTUAL PROPERTY RIGHTS AGREEMENT'],Non-Transferable License
['INTELLECTUAL PROPERTY RIGHTS AGREEMENT'],Affiliate License-Licensee
['INTELLECTUAL PROPERTY RIGHTS AGREEMENT'],Irrevocable Or Perpetual License
['SPONSORED RESEARCH AND LICENSE AGREEMENT'],Exclusivity
['SPONSORED RESEARCH AND LICENSE AGREEMENT'],Termination For Convenience
['SPONSORED RESEARCH AND LICENSE AGREEMENT'],Rofr/Rofo/Rofn
['SPONSORED RESEARCH AND LICENSE AGREEMENT'],Anti-Assignment
['SPONSORED RESEARCH AND LICENSE AGREEMENT'],Revenue/Profit Sharing
['SPONSORED RESEARCH AND LICENSE AGREEMENT'],Ip Ownership Assignment
['SPONSORED RESEARCH AND LICENSE AGREEMENT'],Joint Ip Ownership
['SPONSORED RESEARCH AND LICENSE AGREEMENT'],License Grant
['SPONSORED RESEARCH AND LICENSE AGREEMENT'],Post-Termination Services
['SPONSORED RESEARCH AND LICENSE AGREEMENT'],Audit Rights
['SPONSORED RESEARCH AND LICENSE AGREEMENT'],Cap On Liability
['SPONSORED RESEARCH AND LICENSE AGREEMENT'],Insurance
['MEDIA LICENSE AGREEMENT'],Exclusivity
['MEDIA LICENSE AGREEMENT'],Rofr/Rofo/Rofn
['MEDIA LICENSE AGREEMENT'],Change Of Control
['MEDIA LICENSE AGREEMENT'],Anti-Assignment
['MEDIA LICENSE AGREEMENT'],Price Restrictions
['MEDIA LICENSE AGREEMENT'],Minimum Commitment
['MEDIA LICENSE AGREEMENT'],Ip Ownership Assignment
['MEDIA LICENSE AGREEMENT'],License Grant
['MEDIA LICENSE AGREEMENT'],Non-Transferable License
['MEDIA LICENSE AGREEMENT'],Affiliate License-Licensee
['MEDIA LICENSE AGREEMENT'],Post-Termination Services
['MEDIA LICENSE AGREEMENT'],Covenant Not To Sue
['COMMERCIALIZATION AND LICENSE AGREEMENT'],Non-Compete
['COMMERCIALIZATION AND LICENSE AGREEMENT'],Exclusivity
['COMMERCIALIZATION AND LICENSE AGREEMENT'],Termination For Convenience
['COMMERCIALIZATION AND LICENSE AGREEMENT'],Change Of Control
['COMMERCIALIZATION AND LICENSE AGREEMENT'],Anti-Assignment
['COMMERCIALIZATION AND LICENSE AGREEMENT'],Revenue/Profit Sharing
['COMMERCIALIZATION AND LICENSE AGREEMENT'],Minimum Commitment
['COMMERCIALIZATION AND LICENSE AGREEMENT'],Ip Ownership Assignment
['COMMERCIALIZATION AND LICENSE AGREEMENT'],License Grant
['COMMERCIALIZATION AND LICENSE AGREEMENT'],Non-Transferable License
['COMMERCIALIZATION AND LICENSE AGREEMENT'],Irrevocable Or Perpetual License
['COMMERCIALIZATION AND LICENSE AGREEMENT'],Post-Termination Services
['COMMERCIALIZATION AND LICENSE AGREEMENT'],Audit Rights
['COMMERCIALIZATION AND LICENSE AGREEMENT'],Uncapped Liability
['COMMERCIALIZATION AND LICENSE AGREEMENT'],Cap On Liability
['COMMERCIALIZATION AND LICENSE AGREEMENT'],Insurance
['COMMERCIALIZATION AND LICENSE AGREEMENT'],Covenant Not To Sue
['NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES'],Termination For Convenience
['NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES'],Rofr/Rofo/Rofn
['NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES'],Change Of Control
['NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES'],Anti-Assignment
['NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES'],Revenue/Profit Sharing
['NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES'],Minimum Commitment
['NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES'],License Grant
['NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES'],Non-Transferable License
['NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES'],Audit Rights
['NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES'],Cap On Liability
['NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES'],Liquidated Damages
['NON-EXCLUSIVE LICENSE AGREEMENT- FOR SALES'],Insurance
['Network Build and Maintenance Agreement'],Change Of Control
['Network Build and Maintenance Agreement'],Anti-Assignment
['Network Build and Maintenance Agreement'],Ip Ownership Assignment
['Network Build and Maintenance Agreement'],License Grant
['Network Build and Maintenance Agreement'],Non-Transferable License
['Network Build and Maintenance Agreement'],Affiliate License-Licensee
['Network Build and Maintenance Agreement'],Irrevocable Or Perpetual License
['Network Build and Maintenance Agreement'],Post-Termination Services
['Network Build and Maintenance Agreement'],Audit Rights
['Network Build and Maintenance Agreement'],Uncapped Liability
['Network Build and Maintenance Agreement'],Cap On Liability
['Network Build and Maintenance Agreement'],Warranty Duration
['Network Build and Maintenance Agreement'],Insurance
['Network Build and Maintenance Agreement'],Third Party Beneficiary
['MASTER OPERATION AND MAINTENANCE AGREEMENT'],Anti-Assignment
['MASTER OPERATION AND MAINTENANCE AGREEMENT'],Minimum Commitment
['MASTER OPERATION AND MAINTENANCE AGREEMENT'],License Grant
['MASTER OPERATION AND MAINTENANCE AGREEMENT'],Post-Termination Services
['MASTER OPERATION AND MAINTENANCE AGREEMENT'],Audit Rights
['MASTER OPERATION AND MAINTENANCE AGREEMENT'],Uncapped Liability
['MASTER OPERATION AND MAINTENANCE AGREEMENT'],Cap On Liability
['MASTER OPERATION AND MAINTENANCE AGREEMENT'],Warranty Duration
['MASTER OPERATION AND MAINTENANCE AGREEMENT'],Insurance
['TURN - KEY MANUFACTURING AGREEMENT'],Non-Compete
['TURN - KEY MANUFACTURING AGREEMENT'],No-Solicit Of Employees
['TURN - KEY MANUFACTURING AGREEMENT'],Termination For Convenience
['TURN - KEY MANUFACTURING AGREEMENT'],Anti-Assignment
['TURN - KEY MANUFACTURING AGREEMENT'],Minimum Commitment
['TURN - KEY MANUFACTURING AGREEMENT'],Post-Termination Services
['TURN - KEY MANUFACTURING AGREEMENT'],Audit Rights
['TURN - KEY MANUFACTURING AGREEMENT'],Cap On Liability
['TURN - KEY MANUFACTURING AGREEMENT'],Warranty Duration
['TURN - KEY MANUFACTURING AGREEMENT'],Insurance
['MANUFACTURING AND SUPPLY AGREEMENT (DA-9801 Licensed Products)'],Audit Rights
['MANUFACTURING AND SUPPLY AGREEMENT (DA-9801 Licensed Products)'],Warranty Duration
['PRODUCT MANUFACTURING AGREEMENT'],Exclusivity
['PRODUCT MANUFACTURING AGREEMENT'],Change Of Control
['PRODUCT MANUFACTURING AGREEMENT'],Anti-Assignment
['PRODUCT MANUFACTURING AGREEMENT'],Price Restrictions
['PRODUCT MANUFACTURING AGREEMENT'],Minimum Commitment
['PRODUCT MANUFACTURING AGREEMENT'],Volume Restriction
['PRODUCT MANUFACTURING AGREEMENT'],Joint Ip Ownership
['PRODUCT MANUFACTURING AGREEMENT'],License Grant
['PRODUCT MANUFACTURING AGREEMENT'],Post-Termination Services
['PRODUCT MANUFACTURING AGREEMENT'],Audit Rights
['PRODUCT MANUFACTURING AGREEMENT'],Uncapped Liability
['PRODUCT MANUFACTURING AGREEMENT'],Cap On Liability
['PRODUCT MANUFACTURING AGREEMENT'],Warranty Duration
['PRODUCT MANUFACTURING AGREEMENT'],Insurance
['MANUFACTURING AND SUPPLY AGREEMENT'],Competitive Restriction Exception
['MANUFACTURING AND SUPPLY AGREEMENT'],Exclusivity
['MANUFACTURING AND SUPPLY AGREEMENT'],No-Solicit Of Employees
['MANUFACTURING AND SUPPLY AGREEMENT'],Anti-Assignment
['MANUFACTURING AND SUPPLY AGREEMENT'],Price Restrictions
['MANUFACTURING AND SUPPLY AGREEMENT'],Minimum Commitment
['MANUFACTURING AND SUPPLY AGREEMENT'],Volume Restriction
['MANUFACTURING AND SUPPLY AGREEMENT'],Ip Ownership Assignment
['MANUFACTURING AND SUPPLY AGREEMENT'],License Grant
['MANUFACTURING AND SUPPLY AGREEMENT'],Affiliate License-Licensor
['MANUFACTURING AND SUPPLY AGREEMENT'],Post-Termination Services
['MANUFACTURING AND SUPPLY AGREEMENT'],Audit Rights
['MANUFACTURING AND SUPPLY AGREEMENT'],Uncapped Liability
['MANUFACTURING AND SUPPLY AGREEMENT'],Cap On Liability
['MANUFACTURING AND SUPPLY AGREEMENT'],Warranty Duration
['MANUFACTURING AND SUPPLY AGREEMENT'],Insurance
['WHOLESALE MARKETING AGREEMENT'],Termination For Convenience
['WHOLESALE MARKETING AGREEMENT'],Anti-Assignment
['WHOLESALE MARKETING AGREEMENT'],Cap On Liability
['LOCAL PROGRAMMING AND MARKETING AGREEMENT (WQHT HD2)'],Anti-Assignment
